Job,Company,Description,Link
Corporate Alignment Manager (PMO - CEO Office),"Siam Paragon Development Co., Ltd.","duties and responsibilities:
key tasks
ceo special projects/assignments :
develop project plans andcollaborate with senior leadershipand internal working teamsto defineproject scope and governance. lead project teams to implement ceo special projects, ensuringstrategic alignment with business goalsand ceo direction. these projects may vary, encompassing areas such as business strategy, corporate governance, organizational alignment, and process improvement, as assigned by the ceo.
cross-departmental coordination:
serve as a liaison between the ceo and various departments to facilitate collaboration, communication and ensure alignment on key initiatives.
identify opportunities and key blockers for synergy and integration between departments to enhance organizational efficiency and effectiveness.
performance monitoring:
develop and monitor project performance to measure effectiveness of alignment initiatives and identify areas for improvement.
stakeholder management:
engage with internal and external stakeholders to gather insights, feedback, and foster support for alignment initiatives.
change management:
lead and support change management processes to ensure smooth transitions during strategy implementation.
resource allocation:
optimize resource allocation to support strategic initiatives and achieve maximum impact.
reporting:
prepare regular reports for senior management detailing the progress and outcomes of alignment initiatives.
perform other related duties as assigned",https://th.jobsdb.com/th/job/78437317
HSE Manager,"Jackson Grant Recruitment Co., Ltd.","responsibilities
prepare annual hse plans outlining improvement activities and company targets.
develop safety programs, policies, and procedures; oversee implementation and integrate hse with company programs.
coordinate hse committee activities, ensuring their involvement in factory processes.
ensure compliance with legal requirements; align the hse management system with safran group policies.
maintain iso 14001 and ohsas 18001 certifications; oversee all system functions; manage permits and compliance with laws.
conduct safety and environmental training; support workshops; liaise with authorities and participate in audits.
manage department staff; initiate and implement continuous improvement projects, including 5s+1; participate in expansion projects.",https://th.jobsdb.com/th/job/78462836
Sales Executive,"WINE ASPECT CO., LTD.","role & responsibilities
• develop and execute strategic sales plans to achieve and exceed sales targets.
• build strong relationships with new and existing restaurant, retail, hotel and wholesale clients.
• support wine tastings and present our portfolio to customers
• manage and grow your assigned territory.
• track sales data and identify new business opportunities.
• collaborate with marketing and other sales team members to achieve overall company goals.",https://th.jobsdb.com/th/job/78184768
อาจารย์ คณะนิเทศศาสตร์สาขาการกระจายเสียงแพร่ภาพและสตรีมมิ่ง,University of The Thai Chamber of Commerce,,https://th.jobsdb.com/th/job/78397879
Senior Costing,PRTR Group Public Company Limited,"job description
handling standard costs.
being responsible for the actual cost of production.
handling cost analysis and controls.
assisting the manager to close month-end.
performing various other tasks as needed and assigned.",https://th.jobsdb.com/th/job/78463274
Distributor Executive - Central,PepsiCo,,https://th.jobsdb.com/th/job/78224058
Junior Accountant,Safe Catch (Thailand) Limited,"job description
safe catch (thailand) limited
record all financial transactions daily
update accounts receivable and issue invoices
issue withholding tax certificates and send to suppliers by post
collect all required documents (purchase order, tax invoice, receipt) for tax and auditing purposes and prepare vouchers
assist in the processing of balance sheets, income statements and other financial statements according to legal and company accounting and financial guidelines
prepare invoices with promotional details and send to customers via email and portal
calculate remittances with deductions and record received payments on quickbooks
determine accrued expense and record accrual delivery cost on quickbooks
review unapplied credits on quickbooks
adjust the online sales inventory on fishbowl
support accounting controller",https://th.jobsdb.com/th/job/78412141
Data Engineer Manager,"Hi-Tech Apparel Co., Ltd.","key responsibilities:
team leadership:
lead, mentor, and manage a team of data engineers, fostering a collaborative and high-performance work environment.
data architecture:
design, implement, and maintain scalable data architectures and pipelines to support data integration, transformation, and storage.
project management:
oversee data engineering projects, ensuring timely delivery and alignment with business goals.
collaboration:
work closely with data scientists, analysts, and other stakeholders to understand data requirements and deliver solutions that meet their needs.
performance optimization:
monitor and optimize data systems for performance, scalability, and reliability.
data warehouse:
designing the data management system that is designed to enable and support business intelligence (bi) activities, especially analytics
innovation:
stay updated with emerging trends and technologies in data engineering and implement best practices to improve our data infrastructure.
compliance:
ensure data security, privacy, and compliance with relevant regulations and standards",https://th.jobsdb.com/th/job/78225531
Content Security Manager / Information Security Manager,"Yannix Co., Ltd. (Head Office)","responsibilities:
actively reach out to studios content security contact points to establish security clearance for yannix to receive valuable visual effects content.
develop and implement a robust content security strategy aligned with industry best practices and regulatory requirements.
conduct thorough risk assessments to identify potential vulnerabilities and threats to our visual effects content.
propose a remediation plan for risks to executive managers for approval.
oversee the development and implementation of remediation tasks.
monitor and analyze security systems and alerts, responding to incidents promptly and effectively.
collaborate with it and production teams to ensure secure workflows and data handling practices.
educate employees on security best practices and awareness through training and communication programs.
stay informed about emerging security threats and technologies to maintain a proactive security posture.
investigate security incidents and breaches, conduct thorough forensic analysis, and report findings.
develop and maintain disaster recovery and business continuity plans for content security.",https://th.jobsdb.com/th/job/78223630
Social Media Content : Marketing Strategy Team,Krung Thai Bank PCL,"หน้าที่และความรับผิดชอบ
- วางแผนและสร้างเนื้อหาที่น่าสนใจสำหรับแพลตฟอร์ม socialmedia ต่างๆ
- พัฒนากลยุทธ์คอนเทนต์ที่สอดคล้องกับเป้าหมายทางธุรกิจ
- สร้างและจัดการปฏิทินคอนเทนต์
- ติดตามและวิเคราะห์ประสิทธิภาพของคอนเทนต์ พร้อมทั้งให้คำแนะนำเพื่อปรับปรุง
- ทำงานร่วมกับทีมการตลาดและทีมอื่นๆ เพื่อสร้างแคมเปญที่มีประสิทธิภาพ
- ติดตามเทรนด์และพัฒนาการใหม่ๆ ในวงการ social media",https://th.jobsdb.com/th/job/78426657
Marketing and Sales Executive (Modern Trade Sales),"Otsuka Nutraceutical (Thailand) Co.,Ltd","job description :
- responsible for supermarket/hypermarket, cvs store accounts
- manages and plans to achieve our company sales targeted
- maintains and builds relationships with customers in the modern trade channel
-prepares and analyses monthly sales data
-conducts market research to identify selling possibilities and evaluate selling potential
- manages modern trade accounts effectively
-monitors and progresses sales with the distributors
- cooperate with tt channel to create promotions or sales activities",https://th.jobsdb.com/th/job/78198625
Production Supervisor,PepsiCo,"main responsibilities
the role of a production supervisor is to manage the production performance, environmental health & safety standards, and food safety standards. the main mission of the role is to:
organize and manage of production line, also control the output to achieve the production plans, quality, food safety, and safety standards with high efficiency.
control raw material usage efficiency as an annual operation plan target.
manage both manpower and line utilization
manage team performance: know team problems, define areas for performance improvements with team members, drive teamwork, lead problem-solving groups, and lead workshops on quality improvement methods (5s, tpm, etc.).
ensure that working conditions are fully compliant with quality, food safety, and ehs standards.",https://th.jobsdb.com/th/job/78222559
"Sales & Marketing Executive, Business Development Executive, Key Account Manager",Intertek Testing Services (Thailand) Ltd.,"general work description:
the responsible persons in this job category oversee
for direct sales activity within an assigned territory and industry, identifying and developing new accounts leveraging intertek’s assurance, testing, inspection and certification (atic) solutions.
focus industries: food science, chemical, oil & gas, energy, engineering, transportation and technical inspection service.
job responsibilities:
sell intertek’s services within assigned vertical, account and territory through effective client research, prospecting, and networking.
meet with current and prospective customers by making regular visits, understanding customer's need, and anticipating new marketing opportunity.
meet order and revenue quotas on a monthly.
write and follow up on proposals, specify appropriate standards and pricing; follow through on sales transactions to ensure a superior customer experience for every project.
provide outstanding customer service.
meet all activity targets and log activity into customer relation managment system as required.
prepare sales reports and forecasts, as required.
maintain awareness and understanding of all intertek services to support sales",https://th.jobsdb.com/th/job/78431817
Production Supervisor (Chonburi),"Fabrinet Co., Ltd.","responsibility:
responsible for output and quality of products in responsibility area lowest cost within timely manner. supervise subordinates to a good performance and comply with company policy and rule.
perform a good management such as organizing, planning, controlling materials usage to ensure a quality products and company goals.
support the organization goals in achieving total customer satisfaction.",https://th.jobsdb.com/th/job/78242394
Sales Account Manager / Executive,COOKISS MOBILE SDN BHD,"duties and responsibilities
managing, maintain and retain a portfolio of accounts by providing exceptional customer
care; with an emphasis on support, and high quality service.
establishes productive, professional relationships with key personnel in assigned
customer accounts.
identifying new business opportunities with existing clients and engaging in cross-
selling/up-selling activities.
coordinates the involvement of company personnel, including support, service, and
management resources, in order to meet account performance objectives and customer's
expectations.
supporting the sales team in generating new businesses by analyzing competitors and
developing unparalleled market intelligence.
meets assigned targets for profitable sales volume and strategic objectives in assigned
accounts.
responds to all inquiries and sales requests/process within specified timeframe.
performs collection activities as required.
proactively assesses, clarifies, and validates customer needs on an ongoing basis.",https://th.jobsdb.com/th/job/78201405
Storekeeper,"SKHAI International Co., Ltd.","key responsibilities:
inventory management: ensure the proper reception, storage, and dispatch of goods. maintain accurate records of stock levels and manage inventories to prevent shortages or excesses.
quality assurance: inspect all incoming and outgoing products to confirm their quality and compliance with specifications. address and resolve any discrepancies or issues with product quality.
order processing: prepare and process order forms, and manage the entry and exit of materials using an automated supply inventory database.
safety and cleanliness: maintain a clean and safe environment in the store area, adhering to safety regulations and ensuring all storage areas are well-organized and tidy.
documentation and reporting: keep accurate records of sales, stock levels, and inventory movements. generate reports and provide data to support procurement and supply chain operations.
staff supervision: oversee and coordinate the activities of any assistant storekeepers and other personnel involved in store operations.",https://th.jobsdb.com/th/job/78431785
Storekeeper,"SKHAI International Co., Ltd.","key responsibilities:
inventory management: ensure the proper reception, storage, and dispatch of goods. maintain accurate records of stock levels and manage inventories to prevent shortages or excesses.
quality assurance: inspect all incoming and outgoing products to confirm their quality and compliance with specifications. address and resolve any discrepancies or issues with product quality.
order processing: prepare and process order forms, and manage the entry and exit of materials using an automated supply inventory database.
safety and cleanliness: maintain a clean and safe environment in the store area, adhering to safety regulations and ensuring all storage areas are well-organized and tidy.
documentation and reporting: keep accurate records of sales, stock levels, and inventory movements. generate reports and provide data to support procurement and supply chain operations.
staff supervision: oversee and coordinate the activities of any assistant storekeepers and other personnel involved in store operations.",https://th.jobsdb.com/th/job/78431785
ผู้จัดการทั่วไป (สายงานพัฒนาธุรกิจบำบัดกากอุตสาหกรรม),General Environmental Conservation Public Company Limited,"tasks & responsibilities
ปฏิบัติงานตามคำสั่งผู้บังคับบัญชาในการควบคุม พัฒนา ปรับปรุงระบบบำบัดน้ำเสีย การบริหารจัดการบำบัดและกำจัดกากของเสียอุตสาหกรรม รวมถึงการรีไซเคิล การสร้างมูลค่าของเสีย
ติดต่อประสานงานกับส่วนราชการ สถาบัน และเอกชน เพื่อดำเนินการธุรกิจที่เกี่ยวข้องของบริษัทฯ
ควบคุมและดูแลการจัดทำระบบการจัดการต่างๆ ให้เป็นไปตามข้อกำหนด",https://th.jobsdb.com/th/job/78221978
THAILAND SALES REPRESENTATIVE,TROX MALAYSIA SDN BHD,"responsibilities: -
drive projects in order to achieve annual sales targets
work closely with the current local distributors.
promote trox products and technology to m&e consultants, building contractors, and construction stakeholders.
identify new construction projects, sales channels, and markets.
create an annual sales budget for the thailand market that identifies potential construction project’s value, chance of success, and timing.
organize and follow up on tender submissions.
coordinate with sales administration department for product quotations and to ensure on-time product delivery.
provide basic product selection
attend project coordination meetings to provide support and assist in trouble shooting.
provide after sales service support.",https://th.jobsdb.com/th/job/78408355
ผู้ช่วยผู้จัดการฝ่ายบัญชี,General Environmental Conservation Public Company Limited,,https://th.jobsdb.com/th/job/78221682
FINANCIAL DATA ANALYST (FINANCIAL ANALYSIS),"Campanella & Associates Recruitment Co., Ltd.",,https://th.jobsdb.com/th/job/78442227
"Hotels DOS/Senior- Sales Manager/Sales Manager-Corp, Event, E-Commerce, Agent","LH Mall & Hotel Co., Ltd.",,https://th.jobsdb.com/th/job/78226457
Assistant to MD Secretary (N1-N2)/ผู้ช่วยเลขากรรมการผู้จัดการ (N1-N2),"Sony Device Technology ( Thailand ) Co.,Ltd.","job description
- manage, organize and maintain managing director time calendar, scheduling and reminding appointments
- make travel arrangements for japanese and accompanying personnel which include reservations visa applications, airline, car rental,hotel,etc.
- receive and distribute relevant information to/from internal and external sources by telephone, email or in person
- support in meetings, conferences and day to day activities of managing director
- boi single window for visa and work permit for foreigner business trip.
- perform other administrative duties",https://th.jobsdb.com/th/job/78384064
Accounting specialist (GL),"Changan Auto Southeast Asia Co., Ltd.",,https://th.jobsdb.com/th/job/78238574
Corporate Relationship Manager,Bank of China (Thai) Public Company Limited,"responsibilities:
responsible for preparing the business plan and managing team to achieve the target under successful implementation of strategy as indicated in the plan.
overseeing the business operations and supervise the overall operations to drive strategic company growth which will be in line with objectives, articles of association as well as vision, mission, policies, business strategies, goals and operating plan, financial goals and budget approved by the board of directors.
supervising, guiding and delegating staff at executive level in their duties and ensuring the bank policies and legal guidelines are clearly communicated. also covering the function of assessing, managing and resolving problematic developments and situations.
ensuring that appropriate systems, policies, budgets, controls, and procedures are in place to support day-to-day operations and strategic direction of the business.
closely coordinate with head quarters and its sea entities on business referral to increase collaborative revenue and strengthen boc status as bank of choice for regional and global customers.
identify business risk and opportunities and provide recommendation for continuous improvement and provide professional advice to the risk/credit committee on strategic business development especially in the area of foreign business and investment.",https://th.jobsdb.com/th/job/78454109
International Sales (B2B - English Speaking),SC Asset Corporation Public Company Limited,"job description
consult, problem solving, and manage on all the issues related to overseas clients
build and maintain existing/new relationships with international and domestic property agents.
strong skill negotiating deals and closing deals with multinational property agencies.
prepare strategical planning in penetrating new international markets.
maintain and update daily sales completed both internationally and domestically.
successfully drive sales according to target given.",https://th.jobsdb.com/th/job/78221508
IT Operation Engineer,Daikin Industries (Thailand) Ltd.,"job description
installing and maintaining operating environments both server and client computers
responding effectively and speedily to any problems as it helpdesk support
providing training and support.
ensuring operating environments stay safe and secure.
updating any software and hardware where necessary and monitoring these operating environments
documenting all reported malfunctions and actions taken in response.
*work in bkk branch
working day: monday – friday(08.00 – 17.15)
benefits & welfare :
bonus
diligent allowance
free meals
uniform
shuttle services
overtime
attendance award
annual leave 6-17 days
provident fund
medical allowance
group life & health insurance
annual health check-up
monetary assistance : funeral & marriage
loan scheme
saving club
scholarship for employees & children
company trip, family trip, new year party
sport clubs: football, running, bike, etc.
contact :
daikin industries (thailand) ltd.
recruitment sub group: human resources
www.daikinthai.com",https://th.jobsdb.com/th/job/78199290
Shoes designer,SANGACIO INTERNATIONAL COMPANY LIMITED,"tasks & responsibilities
ออกแบบรองเท้าตามที่ได้รับมอบหมาย ให้ถูกต้องและทันตามเวลาที่กำหนด
ใช้โปรแกรมกราฟฟิกได้อย่างมีประสิทธิภาพ หรือ retouch ภาพ ได้จะพิจารณาเป็นพิเศษ
ติดต่อประสานงานกับฝ่ายการผลิต เพื่อให้การผลิตสามารถเสร็จทันตามกำหนด
วางแผนงานอื่นๆ ตามที่ได้รับมอบหมายอย่างมีประสิทธิภาพ
benefits
ประกันกลุ่ม (เมื่อผ่านการประเมิน)
งานเลี้ยง/ทริปสนุกๆของบริษัท",https://th.jobsdb.com/th/job/78379903
Sales Representative (Chonburi) - Gas/Energy,"TALENTVIS RECRUITMENT (THAILAND) CO., LTD.","responsibilities
create and execute a strategic sales plan and extends the company's goal
meet with potential clients and grow long-lasting relationships that address their needs
ensure that company quotas are met by holding daily check-ins with sales team to set objectives
and monitor progress
selling area is chonburi",https://th.jobsdb.com/th/job/78456574
เจ้าหน้าที่ดูแลระบบสารสนเทศ (Support Infrastructure),Nutrix Public Company Limited,"รายละเอียดงาน
1.แก้ไขปัญหา hardware / software / network
2.ติดตั้งและซ่อมบำรุง computer hardware / software / network
3.วิเคราะห์ปัญหา สาเหตุ การแก้ไขเบื้องต้น
4.support ผู้ใช้งานผ่านช่องทาง onsite / remote / call / email
5.จัดทำสรุปรายงาน it support ประจำเดือน
มีความรับผิดชอบสูง
มีความรู้ความสามารถด้านคอมพิวเตอร์และระบบเครือข่าย
มีความละเอียดรอบคอบ
มีทักษะในการสื่อสาร ติดต่อประสานงาน
มีประสบการณ์ด้านการดูแลระบบ server จะพิจารณาเป็นพิเศษ
มีประสบการณ์ด้านการดูแลงานให้บริการด้าน it support ขั้นต่ำ 1-2 ปี",https://th.jobsdb.com/th/job/78440850
Compliance & Enterprise Risk Management Manager,"Thai Bridgestone Co., Ltd. (00001)","job descriptions
1.compliance
engage in enhancing compliance and governance for bridgestone group companies in thailand as follows;
develop and implement company’s compliance policies and regulations.
provide advice and guidance to other functions on compliance and business integrity as well as the company's regulations.
manage the whistleblowing system and participate in compliance investigations.
promote awareness and understanding of the ethics & compliance culture across the organization.
prepare reports to senior management on the progress of implementation and monitoring of compliance programs.
identify, assess and mitigate compliance risks.
closely work and regularly share best practices with the regional colleagues.
other tasks as may be reasonably assigned
2. enterprise risk management (erm) and business continuity management (bcm)
support the erm program by partnering closely with regional and local stakeholders to establish and socialize the erm framework, risk management methodology, processes, risk appetite and risk culture.
support the implementation of the global erm tool in thailand
support other functions to identify key enterprise risks and drive the development of risk response strategies to support and protect the execution of our local, regional and global strategies.
assist other functions on their development, implementation and training of key bcm program components, such as scenario building, risk evaluation, business impact analysis, mitigation strategies, crisis management plans and etc.
other tasks as may be reasonably assigned.",https://th.jobsdb.com/th/job/78200181
Network Engineer/วิศวกรเครือข่าย,"S C M Technologies Co., Ltd.","responsibilities:
- designing and implementing new network security solutions and/or improving the efficiency of current networks
- installing, configuring and supporting network security equipment including, firewall, ips, vpn, email security, web security, sase (sse & sd-wan), mfa, endpoint security and etc.,
- maximising network performance through ongoing monitoring and troubleshooting
- investigating faults in the network
- create and maintain documentation of network security configuration
- reporting network security status to key stakeholders
- maintaining current knowledge and understanding of security and networking best practices to offer the best solutions and protection to company systems",https://th.jobsdb.com/th/job/78405856
Graphic Designer (Junior - Senior Level),"Digital New Age Agency Co., Ltd.","หน้าที่ความรับผิดชอบ:
ออกแบบและสร้างสรรค์ชิ้นงานออนไลน์ ให้ตรงตามความต้องการของลูกค้าผ่านช่องทาง online และ offline
ระดมความคิด ทำงานร่วมกับทีมเพื่อสร้างสรรค์ไอเดียใหม่ๆ และผลงานคุณภาพ",https://th.jobsdb.com/th/job/78199521
Operations Manager,Culex Hospitality,"duties and responsibilities:
operational oversight:
quality control:
staff management:
inventory and supply chain management:
financial management:
health and safety compliance:
customer service and satisfaction:
continuous improvement:
manage daily operations of multiple restaurant locations.
ensure adherence to company policies, procedures, and operational standards.
conduct regular site visits to evaluate performance and cleanliness.
oversee the smooth running of restaurant operations, ensuring line managers fulfill their responsibilities effectively.
implement and maintain high-quality standards for food preparation, presentation, and service.
coordinate with quality assurance manager to ensure products meet acceptable standards.
address customer complaints promptly to ensure a positive dining experience.
acknowledge and respond to any online customer complaints.
recruit, train, and develop restaurant managers and staff.
schedule and manage employee shifts to optimize productivity.
conduct performance evaluations and provide constructive feedback.
determine staffing requirements and oversee hiring and training processes.
monitor inventory levels and ensure adequate stock of ingredients and supplies.
negotiate favorable terms with suppliers and ensure quality equipment procurement within budget.
implement cost-control measures to reduce waste and control expenses.
conduct stock control audits and purchasing.
develop and manage budgets for each restaurant location.
analyze financial reports to identify areas for improvement.
implement pricing strategies to maximize profitability.
review financial statements, sales, and activity reports to measure productivity and goal achievement.
ensure compliance with health, safety, and sanitation regulations.
conduct safety inspections and training.
foster a culture of exceptional customer service.
implement improvements based on customer feedback.
collaborate with the marketing team to execute campaigns.
identify local marketing opportunities to drive traffic and increase brand visibility.
identify areas for operational improvement.
implement best practices and innovative solutions.
develop and refine production sops to develop training capabilities and implement best practices.
provide regular reports to senior management on performance and challenges.
propose strategies to meet business objectives.
secondary job functions:
lead and support process improvement activities with boh and foh teams.
monitor and manage labor cost at every opportunity ensuring the lowest possible cost.",https://th.jobsdb.com/th/job/78390585
Brand Marketing Manager (New Product Development - FMCG),Srinanaporn Marketing PLC.,"job description:
to develop marketing activities to build brand as assigned, strengthen brand equity, and stimulate sales to achieve the set target.
to use consumer insights and opportunities as springboards to new ideas directing efforts in line with business strategy and the brand vision.
to develop full year brand strategy.
to generate alternative portfolio scenarios to anticipate potential market developments.
to develop measurement tools for campaigns that use emerging and alternative media.
to develops a&p strategy and appropriate budget allocation.
to balance investments and financial returns.",https://th.jobsdb.com/th/job/78200036
Set Up Manager,"MR. D.I.Y. TRADING (THAILAND) CO., LTD.","responsibilities:
oversee the arrangement of new shop openings, remodels, and seasonal displays.
create and monitor project timelines to ensure all tasks are done on time.
coordinate with construction crews, vendors, and internal departments to guarantee a smooth setup.
lead and supervise a team of setup personnel, including training, scheduling, and performance management.
assign tasks and responsibilities to team members while ensuring excellent communication throughout the setup process.
collaborate with the visual merchandising team to implement store layouts and displays according to company guidelines.
monitor and manage the budget for setup projects, ensuring that expenditures are within allocated limits.
implement solutions to prevent recurring problems and improve future setup processes.
performing other duties as required by management.",https://th.jobsdb.com/th/job/78204179
Policy Administrator,"APRIL Assistance (Thailand) Co., Ltd.","duties & responsibilities:
assess information from the application for policy reinstatement for completeness and accuracy
issue medical insurance policies for clients
understand the client’s needs, eligibility, and coverage and provide quality assistance service
manage proactively the policy issuance case using our system and communicate with all relevant departments
provide clients with quality advice and make helpful recommendations
profile:
bachelor’s degree in any field
a first relevant experience in health insurance would be a strong plus
communication in english must be very fluid as there will be plenty of exchange with international colleagues and clients
excellent oral communication, interpersonal and analytical skills
customer-oriented, problem-solving, and multitasking
able to adapt to a fast-paced work environment
knowledge of computer pc, ms-office, internet, e-mail
what we offer:
a fun and stimulating work environment where there is space to learn and grow
the opportunity the be part of a fast-growing, entrepreneurial, and extremely dynamic company
the possibility to gain knowledge and experience in the promising sector of health insurance.
by submitting an application you indicate that you have read and accept the terms of the april data privacy notice available athttps://asia.april-international.com/sites/asia/files/imce/public/asia/april%20asia%20-%20privacy%20notice%20for%20applicants.pdfand the bamboo hr llc privacy policy available using the link at the bottom of this page.",https://th.jobsdb.com/th/job/78409918
Business Development Executive (Medical Industry),"Pacific Healthcare (Thailand) Co., Ltd.","key responsibilities :
develop new business by searching for prospect business in all channels",https://th.jobsdb.com/th/job/78209356
Site Engineer (MEP background),Artelia (Thailand) Company Limited,"job description:
mep inspection and analysis
control contractors to installation and maintain a good relationship with target customers
reports and other actions as related to mep work
responsible for contract & cost management for mep works.
preparing detailed mep cost estimates according to the project budget.
preparing mep tender document and assisting in tender process.
preparing mep pre-tender estimate, comparing and analyzing tender.
perform any other ad-hoc tasks or duties as assigned by the manager.
build strong relationship with third parties",https://th.jobsdb.com/th/job/78410056
Lead Software Engineer (Urgently Required),"SCB PROTECT CO., LTD.","roles and responsibilities:
fully manage scb protect’s eco-system application; lms, corporate website, sms service, iaffiliate, and worksites portal (but not limit to …)
participate in relevant aws infrastructure and services management and control. develop and maintain application with cloud cost-effective. research azure cloud technology per group company direction.
intensively develop and maintain application services to meet leveraged scbx’s risk and security standards, and resolve risk and security issues and concerns timely
ensure managed application services are complied with group company standards; risk and security, data classification, policy and other related.
ensure business requirements, security requirements, and technical requirements are meet company’s direction with cost benefit analysis.
engage in all phases of the software development life cycle (sdlc); requirements gathering, application design, development, testing, debugging, deployment, maintenance, and enhancements including business user and vendor cooperation.
lead and perform application analysis & design, developing, code reviewing, and provide consultant & support for assigned projects.
lead, supervise, and coach full-stack software engineer team member for both technical & technology aspect and people management aspect.
maintain and leverage team’s knowledge and morale.",https://th.jobsdb.com/th/job/78266319
Customer Engineer (New Graduate Are Welcome),UTAC Thai Limited,"responsibility:
collaborate with internal teams to collect comprehensive customer requirements.
initiate communication with customers to obtain npi and project-related details.
compile essential information and specifications from customers to facilitate qualification processes (such as die layout, build sheet, marking, etc.).
maintain regular communication with customers regarding customer requested date (crd) for qualified products, reliability results, and production commencement.
facilitate meetings with pertinent stakeholders to ensure smooth transitions from customer-initiated projects to mass production release phases.
utilize enpi to regularly update and consolidate project statuses.
manage and coordinate resolution of all issues associated with new projects or npi lots from customers.",https://th.jobsdb.com/th/job/78369530
Business System Analyst (Senior/Junior),"Siam Bheasach Co., Ltd.","responsibilities:
1. business process improvements & management
• domain subject expertise (sme)
- serve as the sme in one or two erp processes. for example, sales ordering and capturing, production, quality control, warehouse distribution, and logistics processes.
- analyze and evaluate existing business processes, identify areas for improvement using workflow automation tools in the company, and implement optimized solutions to enhance efficiency and effectiveness.
- collaborate with cross-functional teams to understand and translate business requirements into functional specifications.
- provide expert guidance and support to end-users, ensuring they understand and effectively utilize erp systems.
- develop and maintain comprehensive documentation of business processes, procedures, workflows, and data workflow.
2. project management
• project development life cycle (pdlc) management
-lead and manage business application projects from inception to completion, ensuring timely and successful delivery.
• be familiar with the pdlc process and conduct implementation projects adhering to the following pdlc key processes.
- project initiation (project charter).
• work closely with business users to develop project charters, clearly defining project scope, objectives, and deliverables.",https://th.jobsdb.com/th/job/78425603
Project Management Director,Artelia (Thailand) Company Limited,"job description:
oversee the coordination of project managers within the organization, ensuring consistency in project execution and adherence to project timelines and budgets.
serve as the primary interface with the company regional project lead, providing regular updates on project status, issues, and risks.
utilize extensive project management experience to effectively manage projects from initiation to closure, ensuring successful delivery within scope, schedule, and budget constraints.
apply capex management and reporting processes, including portfolio management, to optimize resource allocation and project prioritization.
demonstrate a strong understanding of process safety and construction safety requirements, applying them to operating assets to mitigate risks and ensure compliance with regulatory standards.
identify and assess project risks, developing mitigation strategies to minimize potential impacts on project objectives.
maintain up-to-date knowledge of industry technical and project management standards and guidelines, ensuring their application to project activities.
promote adherence to company standards and best practices, facilitating continuous improvement initiatives to enhance project delivery processes.
exhibit excellent communication skills, fostering effective collaboration and transparency among project stakeholders.
lead change management efforts, facilitating the adoption of new processes, technologies, or organizational initiatives within the project management team.
serve as a strong team leader, providing guidance, mentorship, and support to project managers and project teams.
cultivate a culture of engagement and accountability within the pmo team, promoting teamwork and collaboration to achieve project objectives.",https://th.jobsdb.com/th/job/78438637
"Senior Manager, Product Owner - Finance/People/Property",Lotus's,"key responsibility:
we are looking for an experienced and dynamic senior manager, product owner to lead our finance, property, and people technology product portfolios. this high-level role requires a strategic thinker with a proven track record in product management and a deep understanding of finance, property, and human resources technology management. the ideal candidate will drive product vision, strategy, and execution, ensuring alignment with business goals and customer needs.
manage the team to perform as the it business analyst to initiate, shape and deliver complex programs for the functions/business in responsibility - ‘finance, property and people’ including manage the technical risks that will impact the success of key lotus’s business plan priorities
establish new or improve existing delivery methodology to deliver the program goals
manage the team in creating and track a plan to deliver the program goals, including the technical implementation plan
provide expert advice and guidance on program delivery (mentoring other tpms and supporting engineering/product teams)
understand trade-offs in software delivery, using experience and influencing skills to drive consensus with the engineering and product teams to obtain the best value and solution
able to foresee potential risks and issues, establish a process of it system implementation, facilitate discussion and manage escalations
act on opportunities to adopt trends and new concepts in program and product delivery
effectively manage major incidents, ensuring stakeholders are updated with the right information to drive the correct decisions
collaborate with the product and engineering teams to define annual budgetary requirements
build positive relationships with suppliers & external stakeholders to deliver software or professional services
other assignment as it deemed appropriates",https://th.jobsdb.com/th/job/78238370
